name,date,measure,trump_position,vote,agreement_likelihood,plus_minus
Cory Gardner,June 13,Opposing the sale of some arms to Saudi Arabia (47-53),oppose,No,0.273,0.727
Cory Gardner,May 11,Nomination of Robert Lighthizer to be United States trade representative (82-14),support,No,0.838,-0.838
Cory Gardner,May 10,Repeal of a rule requiring energy companies to reduce waste and emissions (49-51),support,Yes,0.226,0.774
Cory Gardner,May 4,The 2017 fiscal year appropriations bill (79-18),support,Yes,0.897,0.10300000000000001
Cory Gardner,May 3,Repeal of a rule that allowed a new type of state-based retirement plan (50-49),support,Yes,0.266,0.7340000000000001
Cory Gardner,April 27,Nomination of R. Alexander Acosta to be secretary of labor (60-38),support,Yes,0.36200000000000004,0.638
Cory Gardner,April 24,Nomination of Sonny Perdue to be secretary of agriculture (87-11),support,Yes,0.92,0.08
Cory Gardner,April 7,Nomination of Neil Gorsuch to be associate justice of the Supreme Court (54-45),support,Yes,0.207,0.7929999999999999
Cory Gardner,April 6,Whether to keep the Senate cloture requirement for Supreme Court nominees at 60 votes (48-52),oppose,No,0.26899999999999996,0.731
Cory Gardner,March 30,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (51-50),support,Yes,0.24100000000000002,0.759
Cory Gardner,March 30,Repeal of a rule that allowed a new type of retirement plan established by local governments (50-49),support,Yes,0.261,0.7390000000000001
Cory Gardner,March 23,Repeal of an FCC rule barring internet providers from sharing data on customers' activities (50-48),support,Yes,0.262,0.738
Cory Gardner,March 22,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (50-48),support,Yes,0.262,0.738
Cory Gardner,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.858,0.142
Cory Gardner,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.262,0.738
Cory Gardner,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.25,0.75
Cory Gardner,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.231,0.769
Cory Gardner,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.262,0.738
Cory Gardner,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.251,0.7490000000000001
Cory Gardner,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.38299999999999995,0.617
Cory Gardner,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.266,0.7340000000000001
Cory Gardner,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.563,0.43700000000000006
Cory Gardner,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.64,0.36
Cory Gardner,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.177,0.823
Cory Gardner,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.254,0.746
Cory Gardner,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.225,0.775
Cory Gardner,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.797,0.203
Cory Gardner,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Cory Gardner,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.247,0.753
Cory Gardner,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.27399999999999997,0.726
Cory Gardner,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.247,0.753
Cory Gardner,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.24100000000000002,0.759
Cory Gardner,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.27,0.73
Cory Gardner,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.171,0.8290000000000001
Cory Gardner,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.275,0.725
Cory Gardner,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.963,0.037000000000000005
Cory Gardner,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.958,0.042
Cory Gardner,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.5489999999999999,0.451
Cory Gardner,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.889,0.111
Cory Gardner,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.996,0.004
Cory Gardner,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.805,0.195
Cory Gardner,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.272,0.728
Dean Heller,June 13,Opposing the sale of some arms to Saudi Arabia (47-53),oppose,Yes,0.33,-0.33
Dean Heller,May 11,Nomination of Robert Lighthizer to be United States trade representative (82-14),support,Yes,0.862,0.138
Dean Heller,May 10,Repeal of a rule requiring energy companies to reduce waste and emissions (49-51),support,Yes,0.276,0.7240000000000001
Dean Heller,May 4,The 2017 fiscal year appropriations bill (79-18),support,No,0.8859999999999999,-0.8859999999999999
Dean Heller,May 3,Repeal of a rule that allowed a new type of state-based retirement plan (50-49),support,Yes,0.313,0.687
Dean Heller,April 27,Nomination of R. Alexander Acosta to be secretary of labor (60-38),support,Yes,0.45799999999999996,0.542
Dean Heller,April 24,Nomination of Sonny Perdue to be secretary of agriculture (87-11),support,Yes,0.9420000000000001,0.057999999999999996
Dean Heller,April 7,Nomination of Neil Gorsuch to be associate justice of the Supreme Court (54-45),support,Yes,0.289,0.711
Dean Heller,April 6,Whether to keep the Senate cloture requirement for Supreme Court nominees at 60 votes (48-52),oppose,No,0.322,0.6779999999999999
Dean Heller,March 30,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (51-50),support,Yes,0.292,0.708
Dean Heller,March 30,Repeal of a rule that allowed a new type of retirement plan established by local governments (50-49),support,Yes,0.31,0.69
Dean Heller,March 23,Repeal of an FCC rule barring internet providers from sharing data on customers' activities (50-48),support,Yes,0.315,0.685
Dean Heller,March 22,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (50-48),support,Yes,0.315,0.685
Dean Heller,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.8759999999999999,0.124
Dean Heller,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.315,0.685
Dean Heller,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.301,0.6990000000000001
Dean Heller,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.377,0.623
Dean Heller,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.315,0.685
Dean Heller,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.303,0.6970000000000001
Dean Heller,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.503,0.49700000000000005
Dean Heller,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.373,0.627
Dean Heller,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.6659999999999999,0.33399999999999996
Dean Heller,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.69,0.31
Dean Heller,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.256,0.7440000000000001
Dean Heller,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.306,0.6940000000000001
Dean Heller,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.325,0.675
Dean Heller,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.8390000000000001,0.161
Dean Heller,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Dean Heller,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.309,0.691
Dean Heller,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.32899999999999996,0.6709999999999999
Dean Heller,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.309,0.691
Dean Heller,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.292,0.708
Dean Heller,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.324,0.6759999999999999
Dean Heller,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.264,0.736
Dean Heller,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.35200000000000004,0.648
Dean Heller,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.973,0.027000000000000003
Dean Heller,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.9640000000000001,0.036000000000000004
Dean Heller,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.598,0.402
Dean Heller,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.909,0.091
Dean Heller,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.997,0.003
Dean Heller,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.835,0.165
Dean Heller,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.321,0.679
Ron Johnson,June 13,Opposing the sale of some arms to Saudi Arabia (47-53),oppose,No,0.409,0.591
Ron Johnson,May 11,Nomination of Robert Lighthizer to be United States trade representative (82-14),support,Yes,0.89,0.11
Ron Johnson,May 10,Repeal of a rule requiring energy companies to reduce waste and emissions (49-51),support,Yes,0.34700000000000003,0.653
Ron Johnson,May 4,The 2017 fiscal year appropriations bill (79-18),support,Yes,0.87,0.13
Ron Johnson,May 3,Repeal of a rule that allowed a new type of state-based retirement plan (50-49),support,Yes,0.379,0.621
Ron Johnson,April 27,Nomination of R. Alexander Acosta to be secretary of labor (60-38),support,Yes,0.584,0.41600000000000004
Ron Johnson,April 24,Nomination of Sonny Perdue to be secretary of agriculture (87-11),support,Yes,0.9620000000000001,0.038
Ron Johnson,April 7,Nomination of Neil Gorsuch to be associate justice of the Supreme Court (54-45),support,Yes,0.41100000000000003,0.589
Ron Johnson,April 6,Whether to keep the Senate cloture requirement for Supreme Court nominees at 60 votes (48-52),oppose,No,0.396,0.604
Ron Johnson,March 30,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (51-50),support,Yes,0.364,0.636
Ron Johnson,March 30,Repeal of a rule that allowed a new type of retirement plan established by local governments (50-49),support,Yes,0.379,0.621
Ron Johnson,March 23,Repeal of an FCC rule barring internet providers from sharing data on customers' activities (50-48),support,Yes,0.38799999999999996,0.612
Ron Johnson,March 22,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (50-48),support,Yes,0.38799999999999996,0.612
Ron Johnson,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.897,0.10300000000000001
Ron Johnson,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.38799999999999996,0.612
Ron Johnson,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.373,0.627
Ron Johnson,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.588,0.41200000000000003
Ron Johnson,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.38799999999999996,0.612
Ron Johnson,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.375,0.625
Ron Johnson,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.654,0.34600000000000003
Ron Johnson,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.525,0.475
Ron Johnson,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.7809999999999999,0.21899999999999997
Ron Johnson,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.7490000000000001,0.251
Ron Johnson,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.37799999999999995,0.622
Ron Johnson,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.38,0.62
Ron Johnson,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.474,0.526
Ron Johnson,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.883,0.11699999999999999
Ron Johnson,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Ron Johnson,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.39799999999999996,0.602
Ron Johnson,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.406,0.594
Ron Johnson,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.39799999999999996,0.602
Ron Johnson,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.364,0.636
Ron Johnson,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.397,0.603
Ron Johnson,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.41100000000000003,0.589
Ron Johnson,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.45799999999999996,0.542
Ron Johnson,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.983,0.017
Ron Johnson,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.971,0.028999999999999998
Ron Johnson,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.6579999999999999,0.342
Ron Johnson,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.9309999999999999,0.069
Ron Johnson,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.998,0.002
Ron Johnson,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.87,0.13
Ron Johnson,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.389,0.611
Marco Rubio,June 13,Opposing the sale of some arms to Saudi Arabia (47-53),oppose,No,0.42100000000000004,0.579
Marco Rubio,May 11,Nomination of Robert Lighthizer to be United States trade representative (82-14),support,Yes,0.893,0.107
Marco Rubio,May 10,Repeal of a rule requiring energy companies to reduce waste and emissions (49-51),support,Yes,0.35700000000000004,0.643
Marco Rubio,May 4,The 2017 fiscal year appropriations bill (79-18),support,Yes,0.868,0.132
Marco Rubio,May 3,Repeal of a rule that allowed a new type of state-based retirement plan (50-49),support,Yes,0.38799999999999996,0.612
Marco Rubio,April 27,Nomination of R. Alexander Acosta to be secretary of labor (60-38),support,Yes,0.601,0.39899999999999997
Marco Rubio,April 24,Nomination of Sonny Perdue to be secretary of agriculture (87-11),support,Yes,0.9640000000000001,0.036000000000000004
Marco Rubio,April 7,Nomination of Neil Gorsuch to be associate justice of the Supreme Court (54-45),support,Yes,0.429,0.5710000000000001
Marco Rubio,April 6,Whether to keep the Senate cloture requirement for Supreme Court nominees at 60 votes (48-52),oppose,No,0.406,0.594
Marco Rubio,March 30,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (51-50),support,Yes,0.374,0.626
Marco Rubio,March 30,Repeal of a rule that allowed a new type of retirement plan established by local governments (50-49),support,Yes,0.389,0.611
Marco Rubio,March 23,Repeal of an FCC rule barring internet providers from sharing data on customers' activities (50-48),support,Yes,0.39799999999999996,0.602
Marco Rubio,March 22,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (50-48),support,Yes,0.39799999999999996,0.602
Marco Rubio,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.899,0.10099999999999999
Marco Rubio,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.39799999999999996,0.602
Marco Rubio,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.38299999999999995,0.617
Marco Rubio,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.617,0.38299999999999995
Marco Rubio,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.39799999999999996,0.602
Marco Rubio,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.385,0.615
Marco Rubio,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.6729999999999999,0.327
Marco Rubio,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.546,0.45399999999999996
Marco Rubio,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.795,0.205
Marco Rubio,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.757,0.243
Marco Rubio,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.396,0.604
Marco Rubio,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.39,0.61
Marco Rubio,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.495,0.505
Marco Rubio,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.888,0.11199999999999999
Marco Rubio,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Marco Rubio,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.41100000000000003,0.589
Marco Rubio,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.41700000000000004,0.583
Marco Rubio,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.41,0.59
Marco Rubio,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.374,0.626
Marco Rubio,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.40700000000000003,0.593
Marco Rubio,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.43200000000000005,0.568
Marco Rubio,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.473,0.527
Marco Rubio,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.9840000000000001,0.016
Marco Rubio,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.972,0.027999999999999997
Marco Rubio,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.6659999999999999,0.33399999999999996
Marco Rubio,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.9329999999999999,0.067
Marco Rubio,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.998,0.002
Marco Rubio,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.8740000000000001,0.126
Marco Rubio,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.39799999999999996,0.602
Patrick J. Toomey,June 13,Opposing the sale of some arms to Saudi Arabia (47-53),oppose,No,0.408,0.5920000000000001
Patrick J. Toomey,May 11,Nomination of Robert Lighthizer to be United States trade representative (82-14),support,Yes,0.89,0.11
Patrick J. Toomey,May 10,Repeal of a rule requiring energy companies to reduce waste and emissions (49-51),support,Yes,0.34600000000000003,0.654
Patrick J. Toomey,May 4,The 2017 fiscal year appropriations bill (79-18),support,No,0.87,-0.87
Patrick J. Toomey,May 3,Repeal of a rule that allowed a new type of state-based retirement plan (50-49),support,Yes,0.37799999999999995,0.622
Patrick J. Toomey,April 27,Nomination of R. Alexander Acosta to be secretary of labor (60-38),support,Not voting,0.583,NA
Patrick J. Toomey,April 24,Nomination of Sonny Perdue to be secretary of agriculture (87-11),support,Yes,0.9620000000000001,0.038
Patrick J. Toomey,April 7,Nomination of Neil Gorsuch to be associate justice of the Supreme Court (54-45),support,Yes,0.41,0.59
Patrick J. Toomey,April 6,Whether to keep the Senate cloture requirement for Supreme Court nominees at 60 votes (48-52),oppose,No,0.395,0.605
Patrick J. Toomey,March 30,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (51-50),support,Yes,0.363,0.637
Patrick J. Toomey,March 30,Repeal of a rule that allowed a new type of retirement plan established by local governments (50-49),support,Yes,0.37799999999999995,0.622
Patrick J. Toomey,March 23,Repeal of an FCC rule barring internet providers from sharing data on customers' activities (50-48),support,Yes,0.387,0.613
Patrick J. Toomey,March 22,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (50-48),support,Yes,0.387,0.613
Patrick J. Toomey,March 15,Nomination of Daniel Coats to be director of national intelligence (85-12),support,Yes,0.8959999999999999,0.10400000000000001
Patrick J. Toomey,March 14,Repeal of a Department of Labor rule on drug testing of applicants for unemployment compensation (51-48),support,Yes,0.387,0.613
Patrick J. Toomey,March 9,Repeal of a Department of Education rule on school accountability (50-49),support,Yes,0.37200000000000005,0.628
Patrick J. Toomey,March 8,Repeal of a Department of Education rule on teacher preparation programs (59-40),support,Yes,0.586,0.414
Patrick J. Toomey,March 7,Repeal of changes to Bureau of Land Management planning rules (51-48),support,Yes,0.387,0.613
Patrick J. Toomey,March 6,Repeal of a rule requiring some federal contractors to report labor violations (49-48),support,Yes,0.374,0.626
Patrick J. Toomey,March 2,Nomination of Rick Perry to be secretary of energy (62-37),support,Yes,0.652,0.348
Patrick J. Toomey,March 2,Nomination of Ben Carson to be secretary of housing and urban development (58-41),support,Yes,0.523,0.47700000000000004
Patrick J. Toomey,March 1,Nomination of Ryan Zinke to be secretary of the interior (68-31),support,Yes,0.78,0.22
Patrick J. Toomey,Feb. 28,Nomination of Wilbur L. Ross Jr. to be secretary of commerce (72-27),support,Yes,0.7490000000000001,0.251
Patrick J. Toomey,Feb. 17,Nomination of Scott Pruitt to be administrator of the Environmental Protection Agency (52-46),support,Yes,0.377,0.623
Patrick J. Toomey,Feb. 16,Nomination of Mick Mulvaney to be director of the Office of Management and Budget (51-49),support,Yes,0.379,0.621
Patrick J. Toomey,Feb. 15,Repeal of a rule requiring the Social Security Administration to submit information to the national background-check system (57-43),support,Yes,0.47200000000000003,0.528
Patrick J. Toomey,Feb. 14,Nomination of Linda E. McMahon to be administrator of the Small Business Administration (81-19),support,Yes,0.882,0.11800000000000001
Patrick J. Toomey,Feb. 13,Nomination of David J. Shulkin to be secretary of veterans affairs (100-0),support,Yes,1.0,0.0
Patrick J. Toomey,Feb. 13,Nomination of Steven T. Mnuchin to be secretary of the treasury (53-47),support,Yes,0.397,0.603
Patrick J. Toomey,Feb. 10,Nomination of Tom Price to be secretary of health and human services (52-47),support,Yes,0.405,0.595
Patrick J. Toomey,Feb. 8,Nomination of Jeff Sessions to be attorney general (52-47),support,Yes,0.397,0.603
Patrick J. Toomey,Feb. 7,Nomination of Betsy DeVos to be secretary of education (51-50),support,Yes,0.363,0.637
Patrick J. Toomey,Feb. 3,Repeal of a rule requiring energy companies to disclose payments to foreign governments (52-47),support,Yes,0.396,0.604
Patrick J. Toomey,Feb. 2,Repeal of the stream protection rule (54-45),support,Yes,0.409,0.591
Patrick J. Toomey,Feb. 1,Nomination of Rex W. Tillerson to be secretary of state (56-43),support,Yes,0.457,0.5429999999999999
Patrick J. Toomey,Jan. 31,Nomination of Elaine L. Chao to be secretary of transportation (93-6),support,Yes,0.983,0.017
Patrick J. Toomey,Jan. 24,Nomination of Nikki R. Haley to be ambassador to the United Nations (96-4),support,Yes,0.971,0.028999999999999998
Patrick J. Toomey,Jan. 23,Nomination of Mike Pompeo to be director of the CIA (66-32),support,Yes,0.657,0.34299999999999997
Patrick J. Toomey,Jan. 20,Nomination of John F. Kelly to be secretary of homeland security (88-11),support,Yes,0.93,0.07
Patrick J. Toomey,Jan. 20,Nomination of James Mattis to be secretary of defense (98-1),support,Yes,0.998,0.002
Patrick J. Toomey,Jan. 12,Waiver allowing James Mattis to become secretary of defense (81-17),support,Yes,0.8690000000000001,0.131
Patrick J. Toomey,Jan. 12,Budget resolution to repeal the Affordable Care Act (51-48),support,Yes,0.38799999999999996,0.612
Susan M. Collins,June 13,Opposing the sale of some arms to Saudi Arabia (47-53),oppose,No,0.317,0.6829999999999999
Susan M. Collins,May 11,Nomination of Robert Lighthizer to be United States trade representative (82-14),support,Yes,0.857,0.14300000000000002
Susan M. Collins,May 10,Repeal of a rule requiring energy companies to reduce waste and emissions (49-51),support,No,0.265,-0.265
Susan M. Collins,May 4,The 2017 fiscal year appropriations bill (79-18),support,Yes,0.889,0.111
Susan M. Collins,May 3,Repeal of a rule that allowed a new type of state-based retirement plan (50-49),support,Yes,0.303,0.6970000000000001
Susan M. Collins,April 27,Nomination of R. Alexander Acosta to be secretary of labor (60-38),support,Yes,0.43700000000000006,0.563
Susan M. Collins,April 24,Nomination of Sonny Perdue to be secretary of agriculture (87-11),support,Yes,0.937,0.063
Susan M. Collins,April 7,Nomination of Neil Gorsuch to be associate justice of the Supreme Court (54-45),support,Yes,0.26899999999999996,0.731
Susan M. Collins,April 6,Whether to keep the Senate cloture requirement for Supreme Court nominees at 60 votes (48-52),oppose,No,0.31,0.69
Susan M. Collins,March 30,Repeal of a rule requiring state and local governments to distribute federal funds to qualified health centers even if they perform abortions (51-50),support,No,0.281,-0.281
Susan M. Collins,March 30,Repeal of a rule that allowed a new type of retirement plan established by local governments (50-49),support,Yes,0.299,0.701
Susan M. Collins,March 23,Repeal of an FCC rule barring internet providers from sharing data on customers' activities (50-48),support,Yes,0.303,0.6970000000000001
Susan M. Collins,March 22,Repeal of a Department of Labor rule regarding records of work-related injuries and illnesses (50-48),support,Yes,0.303,0.6970000000000001
